"","year","window","unitid","school_type","program_code","id_candidate","studentid","test_date","time_pt","time_sr","pt_aps","pt_we","pt_wm","score_pt","sr_sqr","sr_cre","sr_ca","score_sr","score_total","performance_pt","performance_sr","performance_tot","mastery","pr_across_pt","pr_across_sr","pr_across_total","pr_within_pt","pt_within_sr","pr_within_total","eaa","sat_tot","sat_m","sat_cr","sat_w","act_tot","sle","gpa","transfer","class","sex","race","parent_edu","dob","major_primary","field_of_study","major_secondary","english","attended_1","attended_2","attended_3","attended_4","effort_pt","effort_sr","engaging_pt","engaging_sr","ls_q1","ls_r1","ls_q2","ls_r2","ls_q3","ls_r3","ls_q4","ls_r4","ls_q5","ls_r5","ls_q6","ls_r6","ls_q7","ls_r7","ls_q8","ls_r8","ls_q9","ls_r9"
"11",2013,"Fall","35011000","0",0,479495,10093327,"2013-09-10 08:59:14","33","23",4,4,4,1292,620,558,598,1254,1273,NA,NA,NA,"Proficient",92,86,93,80,79,84,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","4","1995-03-09","11",1,"36","1",1,0,0,0,"5","5","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2013,"Fall","35011000","0",0,479540,10093467,"2013-09-10 09:00:04","53","24",4,4,4,1211,572,558,451,1140,1176,NA,NA,NA,"Proficient",84,68,79,63,52,59,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","3","1996-01-23","11",1,"34","1",1,0,0,0,"4","2","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2013,"Fall","35011000","0",0,479552,10093746,"2013-09-10 09:02:13","40","24",3,4,4,1124,651,516,668,1277,1201,NA,NA,NA,"Proficient",66,90,84,38,83,66,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-09-17","11",1,"34","1",1,0,0,0,"3","2","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2013,"Fall","35011000","0",0,479530,10094067,"2013-09-10 08:59:27","45","22",4,4,4,1292,651,608,378,1227,1259,NA,NA,NA,"Proficient",92,83,92,80,75,81,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","2","5","1996-03-31","11",1,"34","0",1,0,0,0,"4","4","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2013,"Fall","35011000","0",0,479511,10094481,"2013-09-10 08:58:45","51","26",4,4,4,1254,572,568,388,1119,1187,NA,NA,NA,"Proficient",88,64,81,73,46,62,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","2","4","1995-01-03","11",1,"8","0",1,0,0,0,"4","4","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2013,"Fall","35011000","0",0,479514,10094677,"2013-09-10 08:59:19","46","19",4,4,4,1211,572,619,668,1300,1255,NA,NA,NA,"Proficient",82,92,91,60,87,80,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","4","1994-01-21","11",1,"34","1",1,0,0,0,"3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2013,"Fall","35011000","0",0,479494,10093376,"2013-09-10 09:00:17","53","18",4,4,4,1292,477,408,458,912,1102,NA,NA,NA,"Proficient",92,26,64,80,12,36,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-03-03","11",1,"34","1",1,0,0,0,"4","2","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2013,"Fall","35011000","0",0,479560,10094495,"2013-09-10 09:04:38","55","14",3,3,4,1125,593,408,306,949,1037,NA,NA,NA,"Basic",68,31,48,40,16,19,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","4","1995-01-11","11",1,"36","1",1,0,0,0,"3","2","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2013,"Fall","35011000","0",0,479520,10094499,"2013-09-10 09:00:04","53","26",4,4,4,1254,620,558,451,1185,1220,NA,NA,NA,"Proficient",88,76,87,73,63,72,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","8","3","1994-07-06","11",1,"36","1",1,0,0,0,"4","3","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2013,"Fall","35011000","0",0,479537,10093642,"2013-09-10 09:00:04","36","22",4,4,4,1249,593,619,668,1319,1284,NA,NA,NA,"Proficient",85,94,94,66,91,87,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-11-02","11",1,"34","1",1,0,0,0,"5","4","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2013,"Fall","35011000","0",0,479515,10094358,"2013-09-10 09:00:00","18","17",3,3,4,1083,535,619,528,1199,1141,NA,NA,NA,"Proficient",58,78,73,29,67,48,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","3","1995-05-26","11",1,"34","1",1,0,0,0,"3","4","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2013,"Fall","35011000","0",0,479539,10093424,"2013-09-10 09:00:26","45","17",4,4,4,1292,420,458,523,936,1114,NA,NA,NA,"Proficient",92,29,67,80,15,39,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-06-29","11",1,"34","1",1,0,0,0,"3","2","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2013,"Fall","35011000","0",0,479564,10094392,"2013-09-10 09:08:13","23","18",4,4,4,1211,593,658,458,1257,1234,NA,NA,NA,"Proficient",84,87,89,63,80,75,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-10-17","11",1,"34","1",1,0,0,0,"4","3","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2013,"Fall","35011000","0",0,479554,10094576,"2013-09-10 09:02:47","52","17",3,3,4,1082,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","8","4","1995-05-16","11",1,"36","1",1,0,0,0,"5","5","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2013,"Fall","35011000","0",0,479501,10093390,"2013-09-10 08:58:43","55","23",5,5,6,1537,651,619,319,1209,1373,NA,NA,NA,"Advanced",99,80,98,98,70,97,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-11-04","11",1,"36","1",1,0,0,0,"5","3","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2013,"Fall","35011000","0",0,479516,10093479,"2013-09-10 08:59:27","14","17",3,3,4,1083,620,658,598,1349,1216,NA,NA,NA,"Proficient",58,96,86,29,94,71,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","2","4","1995-08-24","11",1,"34","1",1,0,0,0,"4","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2013,"Fall","35011000","0",0,479500,10094241,"2013-09-10 08:59:27","40","20",4,4,4,1211,477,508,451,1003,1107,NA,NA,NA,"Proficient",82,41,65,60,23,37,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","2","2","1995-10-17","11",1,"34","0",1,0,0,0,"4","4","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2013,"Fall","35011000","0",0,479525,10093755,"2013-09-10 08:59:38","47","20",4,4,4,1292,572,458,598,1115,1203,NA,NA,NA,"Proficient",92,64,84,80,45,67,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","4","1995-04-23","11",1,"11","1",1,0,0,0,"5","4","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2013,"Fall","35011000","0",0,479527,10094381,"2013-09-10 08:59:27","47","24",4,4,3,1125,477,671,458,1160,1142,NA,NA,NA,"Proficient",68,71,73,40,57,48,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","5","1995-02-18","11",1,"11","1",0,0,0,1,"3","2","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2013,"Fall","35011000","0",0,479559,10094808,"2013-09-10 09:04:02","49","13",4,5,5,1369,668,516,596,1259,1314,NA,NA,NA,"Proficient",96,87,96,87,80,91,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","4","1995-09-14","11",1,"11","1",1,0,0,0,"4","3","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2013,"Fall","35011000","0",0,479509,10094519,"2013-09-10 08:58:36","42","18",4,4,4,1292,525,516,668,1158,1225,NA,NA,NA,"Proficient",92,71,87,80,56,73,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","8","4","1995-05-09","11",1,"34","1",1,0,0,0,"3","3","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2013,"Fall","35011000","0",0,479566,10094686,"2013-09-10 09:24:52","18","20",3,3,3,1041,620,558,596,1253,1147,NA,NA,NA,"Proficient",48,86,74,20,79,50,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","2","1995-04-21","11",1,"34","1",1,0,0,0,"3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2013,"Fall","35011000","0",0,479549,10093922,"2013-09-10 09:01:43","29","26",4,4,5,1254,572,608,668,1290,1272,NA,NA,NA,"Proficient",88,91,92,73,85,83,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","3","1995-10-25","11",1,"36","1",1,0,0,0,"4","3","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2013,"Fall","35011000","0",0,479522,10094185,"2013-09-10 08:59:08","34","15",4,4,4,1292,535,408,388,934,1113,NA,NA,NA,"Proficient",92,29,67,80,15,38,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","3","1995-01-16","11",1,"11","1",1,0,0,0,"3","2","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2013,"Fall","35011000","0",0,479498,10094214,"2013-09-10 08:59:52","53","15",3,3,4,1091,668,413,523,1127,1109,NA,NA,NA,"Proficient",63,66,66,34,48,37,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","5","1995-04-12","11",1,"34","1",1,0,0,0,"5","5","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2013,"Fall","35011000","0",0,479558,10093734,"2013-09-10 09:04:02","45","15",4,4,3,1125,620,465,306,1028,1077,NA,NA,NA,"Basic",70,46,58,43,27,28,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","5","1995-05-13","11",1,"34","1",1,0,0,0,"5","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2013,"Fall","35011000","0",0,479517,10093789,"2013-09-10 08:59:01","58","26",3,4,4,1211,593,558,451,1159,1185,NA,NA,NA,"Proficient",82,71,81,60,56,61,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","2","4","1995-01-22","11",1,"36","0",1,0,0,0,"4","3","5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2013,"Fall","35011000","0",0,479532,10094224,"2013-09-10 09:00:32","50","22",4,4,4,1208,572,516,306,1032,1120,NA,NA,NA,"Proficient",81,47,68,58,28,41,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","4","1995-08-28","11",1,"34","1",1,0,0,0,"4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2013,"Fall","35011000","0",0,479524,10094698,"2013-09-10 09:00:39","59","17",3,3,3,995,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1994-08-14","11",1,"6","0",1,0,0,0,"5","4","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2013,"Fall","35011000","0",0,479556,10093949,"2013-09-10 09:03:36","50","13",3,3,4,1125,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","4","1995-04-12","11",1,"34","1",1,0,0,0,"4","4","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2013,"Fall","35011000","0",0,479510,10094623,"2013-09-10 08:58:48","47","17",4,4,5,1330,668,568,378,1205,1267,NA,NA,NA,"Proficient",94,79,92,84,68,83,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-03-05","11",1,"34","1",1,0,0,0,"4","2","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2013,"Fall","35011000","0",0,479507,10093370,"2013-09-10 08:59:01","47","23",3,3,4,1084,535,413,319,906,995,NA,NA,NA,"Basic",61,25,37,31,12,12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","8","5","1995-05-23","11",1,"11","1",1,0,0,0,"3","2","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2013,"Fall","35011000","0",0,479555,10093840,"2013-09-10 09:03:14","42","21",3,3,4,1082,535,413,598,1038,1060,NA,NA,NA,"Basic",56,48,54,25,30,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","5","1995-04-18","11",1,"11","1",1,0,0,0,"4","3","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2013,"Fall","35011000","0",0,479553,10093594,"2013-09-10 09:02:43","45","19",4,4,4,1298,572,568,668,1252,1275,NA,NA,NA,"Proficient",93,86,93,83,79,84,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-07-18","11",1,"36","1",1,0,0,0,"4","3","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2013,"Fall","35011000","0",0,479542,10093884,"2013-09-10 09:00:24","58","18",4,4,4,1298,429,358,306,748,1023,NA,NA,NA,"Basic",93,7,44,83,3,16,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1994-09-22","11",1,"11","1",1,0,0,0,"5","3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2013,"Fall","35011000","0",0,480404,10095838,"2013-09-12 09:03:40","38","26",3,3,4,1125,572,516,596,1169,1147,NA,NA,NA,"Proficient",70,73,74,43,59,50,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","8","2",NA,"11",1,"36","1",1,0,0,0,"3","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2013,"Fall","35011000","0",0,479174,10098785,"2013-09-09 12:04:41","54","14",3,4,4,1208,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","5","1995-11-01","11",1,"34","1",1,0,0,0,"5","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2013,"Fall","35011000","0",0,479152,10099911,"2013-09-09 12:02:38","45","23",3,3,4,1125,572,608,596,1256,1190,NA,NA,NA,"Proficient",68,87,82,40,80,63,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","4","1995-07-20","11",1,"34","1",1,0,0,0,"4","5","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2013,"Fall","35011000","0",0,479191,10099441,"2013-09-09 12:04:45","59","18",4,4,5,1333,668,516,306,1122,1228,NA,NA,NA,"Proficient",95,65,88,86,47,74,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","4","1995-04-05","11",1,"34","1",1,0,0,0,"5","3","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2013,"Fall","35011000","0",0,479195,10098213,"2013-09-09 12:06:16","45","22",4,4,4,1290,593,558,598,1229,1259,NA,NA,NA,"Proficient",89,83,92,76,75,81,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-02-07","11",1,"21","1",1,0,0,0,"3","2","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2013,"Fall","35011000","0",0,479203,10097975,"2013-09-09 12:10:54","52","11",3,3,3,995,572,311,388,877,936,NA,NA,NA,"Below Basic",38,20,25,13,8,5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-09-28","11",1,"11","1",1,0,0,0,"3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2013,"Fall","35011000","0",0,479169,10098722,"2013-09-09 12:03:43","24","24",3,3,4,1091,535,558,528,1141,1116,NA,NA,NA,"Proficient",63,69,67,34,53,40,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","2","4","1995-10-12","11",1,"11","1",1,0,0,0,"5","4","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2013,"Fall","35011000","0",0,479192,10099941,"2013-09-09 12:05:10","30","28",3,4,4,1125,572,608,596,1256,1190,NA,NA,NA,"Proficient",70,87,82,43,80,64,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","4","1995-05-27","11",1,"34","1",1,0,0,0,"3","3","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2013,"Fall","35011000","0",0,479200,10097899,"2013-09-09 12:06:08","45","23",5,5,5,1489,477,465,668,1065,1277,NA,NA,NA,"Proficient",98,53,93,95,35,85,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","7","2","1995-04-18","11",1,"36","1",1,0,0,0,"4","3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2013,"Fall","35011000","0",0,479146,10098181,"2013-09-09 12:04:08","59","19",5,5,5,1459,477,608,451,1097,1278,NA,NA,NA,"Proficient",98,60,93,94,41,85,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","4","1995-02-20","11",1,"27","1",1,0,0,0,"5","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2013,"Fall","35011000","0",0,479202,10100008,"2013-09-09 12:06:22","54","23",3,3,4,1125,668,608,596,1345,1235,NA,NA,NA,"Proficient",70,96,89,43,93,75,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-04-12","11",1,"6","1",1,0,0,0,"3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",2013,"Fall","35011000","0",0,479171,10098523,"2013-09-09 12:04:09","23","20",4,3,4,1125,593,408,523,1052,1088,NA,NA,NA,"Basic",70,51,61,43,32,32,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","3","1995-02-13","11",1,"34","1",1,0,0,0,"3","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",2013,"Fall","35011000","0",0,479159,10098730,"2013-09-09 12:04:07","31","24",4,4,4,1208,477,658,596,1213,1210,NA,NA,NA,"Proficient",81,81,85,58,71,69,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","4","1995-11-23","11",1,"36","1",1,0,0,0,"4","3","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",2013,"Fall","35011000","0",0,479176,10098561,"2013-09-09 12:05:13","42","14",3,4,4,1171,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","5","1995-02-10","11",1,"11","1",1,0,0,0,"3","3","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",2013,"Fall","35011000","0",0,479197,10099056,"2013-09-09 12:06:04","53","20",4,4,4,1207,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"3","7","5","1995-08-15","26",1,"1","1",1,0,0,0,"4","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",2013,"Fall","35011000","0",0,479158,10099693,"2013-09-09 12:05:13","51","16",4,5,4,1331,620,458,319,1028,1180,NA,NA,NA,"Proficient",94,46,80,85,27,60,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","4","1995-09-22","11",1,"34","1",1,0,0,0,"5","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
